County,City,Date,Topic ,Guessed Participants,Actual Participants 
Berlin,Berlin,2022-08-19,"""Die Zukunft von Bullerbü""",100,100
Berlin,Berlin,2022-08-19,"""Bevorstehende Wahl in Angola, für freie transparente Wahlen, gegen Wahlfälschung"" - Kundgebung ""Aufmerksamkeit lenken auf die befürchtete Wahlfälschung in Angola und auf die Gefahr, die Andersdenkenden in Angola droht""",40,16
Berlin,Berlin,2022-08-19,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,3
Berlin,Berlin,2022-08-19,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom ersten Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-19,"""Tierrechte und Klimaschutz, Schlachthäuser schliessen""",25,40
Berlin,Berlin,2022-08-19,"""#VisionZero - Fahrraddemonstration zum Gedenken an einen tödlich verunglückten Radfahrer""",50,52
Berlin,Berlin,2022-08-19,"""KlimaAfterWork, das politische Event mit Musik, Drinks, Speaker, Friends & Family – vor dem Klima-Ministerium für die jetzt dringend nötige Klimapolitik, das AfterWork Event für einen kühlen Planeten""",75,45
Berlin,Berlin,2022-08-19,"""Mahnwache für getöteten Radfahrer""",25,
Berlin,Berlin,2022-08-19,"""Protest gegen Verdrängung und Gentrifizierung""",200,
Berlin,Berlin,2022-08-19,"""Versammlung mit politischen und sozialen Hintergrund. Zur Erinnerung und Klarstellung der christlichen Werte. Um das Bewusstsein der Bevölkerung auf die Weise zu sensibilisieren...""",7,
Berlin,Berlin,2022-08-20,"""Verkehrswende Jetzt! - Verkehrswende-Camp"" (vom 14.08. bis 01.09.2022 - täglich)",300,
Berlin,Berlin,2022-08-20,"""Stop Putin´s Neo-NaZism now!"" (vom 28.07. bis 30.08.2022 - täglich)",500,3
Berlin,Berlin,2022-08-20,"""Friedenscamp Berlin"" (vom 30.07. bis 20.09.2022 - täglich)",30,5
Berlin,Berlin,2022-08-20,"""Inklusion rockt und rollt""",100,20
Berlin,Berlin,2022-08-20,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,3
Berlin,Berlin,2022-08-20,"""Dezentraler Aktionstag zu Lützerath #LütziBleibt #LütziLebt - Fahrraddemo""",100,12
Berlin,Berlin,2022-08-20,"""Tierrechte und Klimaschutz: Demoreihe für die Schließung aller Schlachthäuser""",500,200
Berlin,Berlin,2022-08-20,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 26.03. bis 26.11.2022 - jeweils Sa.)",20,5
Berlin,Berlin,2022-08-20,"""We demand to apply sanctions on the russian house of culture in Berlin...""",4,6
Berlin,Berlin,2022-08-20,"""Kein US-Krieg gegen Venezuela USA Unblock Venezuela USA Unblock Kuba Kein Amerika-Gipfel ohne Kuba, Venezuela und Nicaragua Gegen Intervention und Blockade, Schluß mit der Kriegstreiberei Kein Krieg vom deutschen Boden, keine Waffenlieferungen, keine Kriegsbeteiligung Hände weg vom Donbass Save Donbass People Solidarität mit Sandinistischen Revolution Solidarität mit den fortschrittlichen Menschen in Chile, Peru und allen anderen Ländern Lateinamerikas Frente Nacional por la Democracia y la Gobernabilidad Berlin"" (vom 04.06. bis 27.08.2022 - jeweils Sa.)",50,30
Berlin,Berlin,2022-08-20,"""Drachenfliegen-Festival in Solidarität mit den Menschen in Afghanistan""",100,100
Berlin,Berlin,2022-08-20,"""Freiheit für Ali Osman Köse""",10,5
Berlin,Berlin,2022-08-20,"""Weltfrieden, Freiheit, Souveränität"" (vom 07.05. bis 31.12.2022 - jeweils Sa.)",50,25
Berlin,Berlin,2022-08-20,"""Aktiver Widerstand gegen die Vorbereitung eines 3. Weltkriegs - Wir zahlen nicht für Eure Kriege""",80,50
Berlin,Berlin,2022-08-20,"""Kundgebung für kostenlosen ÖPNV.""",20,10
Berlin,Berlin,2022-08-20,"""#IchBinArmutsbetroffen""",50,10
Berlin,Berlin,2022-08-20,"""FLINTA* Pride Kundgebung für die Abschaffung rassistischer, sexistischer, transphober und homophober Strukturen""",1500,400
Berlin,Berlin,2022-08-20,"""Migration is not a Crime - Kundgebung gegen Kriminalisierung von Migrant*innen / für das Recht auf Migration / Migration und Menschenrechte mit Redebeiträgen von ca. 5-6 zivilgesellschaftlichen Akteuren und zwischendrin Trommelgruppen""",100,50
Berlin,Berlin,2022-08-20,"""Demo. Gegen Angriff und Bombardierung türkische Staat in Rojava Seit vorgestern Abend bombardiert Türkische Staat kurdische Gebiete in Syrien mit Erlaubnis Russland Da sind Zivilisten auch Kinder erfordert Solidarität mit Rojava Solidarität mit Widerstand""",100,100
Berlin,Berlin,2022-08-21,"""Verkehrswende Jetzt! - Verkehrswende-Camp"" (vom 14.08. bis 01.09.2022 - täglich)",300,
Berlin,Berlin,2022-08-21,"""Stop Putin´s Neo-NaZism now!"" (vom 28.07. bis 30.08.2022 - täglich)",500,5
Berlin,Berlin,2022-08-21,"""Friedenscamp Berlin"" (vom 30.07. bis 20.09.2022 - täglich)",30,5
Berlin,Berlin,2022-08-21,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom erstem Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-21,"""Genozid""",5,
Berlin,Berlin,2022-08-21,"""Corona-Pressespiegel, Berlin - wir geben den Opfern eine Stimme""",6,20
Berlin,Berlin,2022-08-21,"""Fahrzeug und Fahrradkorso - Wir, die FREIEN GEISTER, fahren für unsere Kinder und gegen die Spaltung unserer Gesellschaft. Wir lassen uns nicht spalten. Zusammenhalt und Gleichberechtigung für ALLE ! / Jung und Alt, Groß und Klein, KEINE G - Regeln, für ALLE. Wir sind Menschen aus der Mitte unserer Bevölkerung. Das ist für unsere Kinder, sie sollen nicht in Ketten leben, ohne Angst und ohne Tränen. Meinungsfreiheit und Diskurs um die Bevölkerung zu einen. Wir informieren die Bevölkerung über Daten, Zahlen und Fakten sowie die Entwicklungen und Auswirkungen der Corona-Maßnahmen und decken Hintergründe im Zusammenhang mit dem Infektionsschutzgesetz auf. Ein klares Nein zur Impfpflicht. Wir sind für Frieden auf der ganzen Welt und klären über Probleme in unserem Land und die daraus resultierenden Kollateralschäden auf.""",50,25
Berlin,Berlin,2022-08-21,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,5
Berlin,Berlin,2022-08-21,"""Versammlung der in Berlin lebende Chilen*innen um Unterstützung für die Versammlungsreform in Chile zu zeigen.""",50,40
Berlin,Berlin,2022-08-21,"""Russischen Atomterrorismus stoppen! Saporischschja darf nicht das nächste Tschernobyl werden!""",20,35
Berlin,Berlin,2022-08-21,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom ersten Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-21,"""Unterstützung der friedlichen, algerischen Revolution hin zu einem demokratischen Staat"" (vom 17.07.2022 bis 01.01.2023 - jeweils So.)",10,5
Berlin,Berlin,2022-08-21,"""Video-Aktion zur Aufklärung über die Tierindustrie""",20,30
Berlin,Berlin,2022-08-21,"""Umbenennung der sogenannten M* Straße und die Koloniale Erinnerungspolitik""",150,80
Berlin,Berlin,2022-08-21,"""KUNSTAKTION ´EMPATHY""",7,5
Berlin,Berlin,2022-08-21,"""Armut macht keine Sommerpause"" - Hartz IV ist nicht genug, Tafel Jugend fordert volle Teller""",50,45
Berlin,Berlin,2022-08-21,"""GO FILM THE POLICE Photo und Video Aufnahmen der Polizeieinsätze wie rechtswidrige und übermässige Gewalt angewendet wird""",40,80
Berlin,Berlin,2022-08-21,"""Der neunte Jahrestag des Einsatzes chemischer Waffen durch das Assad-Regime gegen Zivilisten""",50,40
Berlin,Berlin,2022-08-21,"""Wir führen aktuell das Volksbegehren Berlin 2030 Klimaneutral durch und möchten gerne im Rahmen unseres ´Super Sammel Wochenende´ (es geht um das Sammeln von Unterschriften) eine Kundgebung veranstalten um Neuigkeiten zu der Kampagne mizuteilen und Redebeiträge aus unserem Bündnis zu ermöglichen. Zwischen den Redebeiträgen wird Musik gespielt, die zur Motivation dient."" [sic]",20,25
Berlin,Berlin,2022-08-22,"""Verkehrswende Jetzt! - Verkehrswende-Camp"" (vom 14.08. bis 01.09.2022 - täglich)",300,
Berlin,Berlin,2022-08-22,"""Stop Putin´s Neo-NaZism now!"" (vom 28.07. bis 30.08.2022 - täglich)",500,
Berlin,Berlin,2022-08-22,"""Friedenscamp Berlin"" (vom 30.07. bis 20.09.2022 - täglich)",30,
Berlin,Berlin,2022-08-22,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom erstem Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-22,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-08-22,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom ersten Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-22,"""Mahnwache für Frieden und Menschenrechte"" (vom 11.07. bis 26.09.2022 - jeweils Mo.)",10,10
Berlin,Berlin,2022-08-22,"""Wir Laufen gegen die Spaltung gegen die Impfpflicht für unsere Kinder und unsere Freiheit"" (vom 28.02. bis 29.08.2022 - jeweils Mo.)",200,130
Berlin,Berlin,2022-08-22,"""Stoppt den Krieg! Frieden und Freiheit für die Ukraine! Jetzt!"" (vom 11.07. bis 26.09.2022 - jeweils Mo.)",15,
Berlin,Berlin,2022-08-22,"""Für Frieden, Freiheit und Selbstbestimmung"" (vom 13.06. bis 26.12.2022 - jeweils Mo.)",30,30
Berlin,Berlin,2022-08-22,"""Protest gegen Hartz 4 und das Bürgergeld - Montag ist der Tag des Widerstands"" (vom 03.01. bis 20.12.2022 - jeweils Mo.)",30,
Berlin,Berlin,2022-08-22,"""Gemeinsam leben - FÜR ein selbst bestimmtes, friedliches und tolerantes Miteinander ab sofort und in unser ALLER Zukunft"" (vom 18.04. bis 26.12.2022 - jeweils Mo.)",200,
Berlin,Berlin,2022-08-22,"""Fortführung der DAUERVERANSTALTUNG ""Mahnwache am Kanzleramt zur sofortigen Abschaltung aller Atomanlagen""."" (vom 04.07. bis 26.12.2022 - jeweils Mo.)",20,2
Berlin,Berlin,2022-08-22,"""Antikriegsmahnwache, jetzt speziell die militärischen Auseinandersetzungen zwischen Russland und der Ukraine betreffend"" (vom 04.07. bis 26.09.2022 - jeweils Mo.)",10,6
Berlin,Berlin,2022-08-22,"""Nachbarschaftlich für Frieden, gegen den Covid-Impfpass, ID 2020 und das globale WHO-Pandemie-Diktat!"" (vom 13.06. bis 26.09.2022 - jeweils Mo.)",40,26
Berlin,Berlin,2022-08-22,"""Montagsspaziergang gegen Impfpflicht, Krieg und Gasumlage""",50,35
Berlin,Berlin,2022-08-22,"""Tegel geht auf die Straße"" (vom 11.07. bis 26.09.2022 - jeweils Mo.)",100,45
Berlin,Berlin,2022-08-22,"""Mahnwache: FLUGLÄRM UND FEINSTAUB MACHEN KRANK! Konsequentes Nachtflugverbot von 22 Uhr bis 6 Uhr am Flughafen BER. Kurzstreckenflüge gehören auf die Schiene. Alle Messdaten der Ultrafeinstaubmessung am Flughafen BER müssen öffentlich werden. Die Subventionierung des Flughafens und der Billigairlines muss beendet werden, denn wer fliegt oder Flüge anbietet, muss die tatsächlichen Kosten zahlen."" (vom 08.08.2022 bis 07.08.2023 - jeweils Mo.)",40,25
Berlin,Berlin,2022-08-22,"""Wir sind Vielfalt! Solidarität ist unsere Stärke. Gegen rechtsoffene Versammlungen aller Art und überall!"" (vom 18.07. bis 31.12.2022 - jeweils Mo.)",200,21
Berlin,Berlin,2022-08-23,"""Verkehrswende Jetzt! - Verkehrswende-Camp"" (vom 14.08. bis 01.09.2022 - täglich)",300,
Berlin,Berlin,2022-08-23,"""Stop Putin´s Neo-NaZism now!"" (vom 28.07. bis 30.08.2022 - täglich)",500,6
Berlin,Berlin,2022-08-23,"""Friedenscamp Berlin"" (vom 30.07. bis 20.09.2022 - täglich)",30,10
Berlin,Berlin,2022-08-23,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom erstem Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-23,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-08-23,"""Frieden schaffen ohne Waffen""",20,10
Berlin,Berlin,2022-08-23,"""Change the cain - all trade should be fair!""",100,100
Berlin,Berlin,2022-08-23,"""Wir zahlen nicht für Eure Krisen und Kriege - Lohnnachschlag sofort""",20,7
Berlin,Berlin,2022-08-23,"""Protect Ukrainian Sky""",50,25
Berlin,Berlin,2022-08-23,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom ersten Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-23,"""Bürgerinnen und Bürger äußern ihre Meinung zur aktuellen deutschen Politik, hinterfragen die Narrative der Massenmedien, treten ein für Frieden und Dialog und fordern den Schutz der Kinder vor schädlichen ""Maßnahmen"".""",20,20
Berlin,Berlin,2022-08-23,"""Menschen mit Schildern"" (vom 04.01. bis 27.12.2022 - jeweils Di.)",30,35
Berlin,Berlin,2022-08-23,"""Tag der Nationalflagge der Ukraine""",40,40
Berlin,Berlin,2022-08-23,"""Wir pfeifen auf Stuttgart 21"" (vom 05.07. bis 27.09.2022 - jeweils Di.)",5,7
Berlin,Berlin,2022-08-23,"""Gedenkveranstaltung anlässlich des 100. Geburtstags der jüdischen Antifaschistin Inge Deutschkron""",30,30
Berlin,Berlin,2022-08-24,"""Verkehrswende Jetzt! - Verkehrswende-Camp"" (vom 14.08. bis 01.09.2022 - täglich)",300,
Berlin,Berlin,2022-08-24,"""Stop Putin´s Neo-NaZism now!"" (vom 28.07. bis 30.08.2022 - täglich)",500,100
Berlin,Berlin,2022-08-24,"""Friedenscamp Berlin"" (vom 30.07. bis 20.09.2022 - täglich)",30,10
Berlin,Berlin,2022-08-24,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom erstem Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-24,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-08-24,"""Im Gedenken an die Opfer der Agenda 2010 mit der Fragestellung... Sind es die Empathielosen, die unsere Gesellschaft zerstören?""",10,10
Berlin,Berlin,2022-08-24,"""Schmutzige Gelder stoppen: keine halben Sachen!""",5,
Berlin,Berlin,2022-08-24,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom ersten Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-24,"""""Ukrainischer Unabhängigkeitstag. Frieden in der Ukraine...""",15,16
Berlin,Berlin,2022-08-24,"""Animal Rights Square: Video-Aktion zur Aufklärung über die Tierindustrie"" (vom 10.08. bis 21.09.2022 - jeweils Mi.)",15,13
Berlin,Berlin,2022-08-24,"""Freedom Parade - Celebrate Ukraine""",10000,3500
Berlin,Berlin,2022-08-24,"""Kein Krieg und keine Kriegshetze gegen Russland!, NATO - Hände weg von der Ukraine und anderen Ländern, die in ihrem Fadenkreuz stehen!"" (vom 06.07. bis 28.09.2022 - jeweils Mi.)",10,12
Berlin,Berlin,2022-08-24,"""Protest zum Jahrestag der Räumung von Kisch und Co.""",200,100
Berlin,Berlin,2022-08-24,"""Die Ukraine ist Symbol des Friedens""",50,
Berlin,Berlin,2022-08-24,"""Kerzenkette für den Unabhängigkeitstag der Ukraine""",300,250
Berlin,Berlin,2022-08-25,"""Verkehrswende Jetzt! - Verkehrswende-Camp"" (vom 14.08. bis 01.09.2022 - täglich)",300,
Berlin,Berlin,2022-08-25,"""Stop Putin´s Neo-NaZism now!"" (vom 28.07. bis 30.08.2022 - täglich)",500,
Berlin,Berlin,2022-08-25,"""Friedenscamp Berlin"" (vom 30.07. bis 20.09.2022 - täglich)",30,
Berlin,Berlin,2022-08-25,"""Mahnwache zur Aufklärung rechter Straftaten in Neukölln"" (vom 06.01. bis 29.12.2022 - jeweils Do.)",10,5
Berlin,Berlin,2022-08-25,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,2
Berlin,Berlin,2022-08-25,"""Mahnwache für Frieden, Freiheit, Toleranz und Menschenrechte""",7,2
Berlin,Berlin,2022-08-25,"""Gegen die Christenverfolgung in Nordkorea und für folgende Menschenrechte in Nordkorea: Reise-, Meinungsfreiheit, Reis statt Atom, Auflösung der Konzentrationslager"" (vom 14.07. bis 13.10.2022 - jeweils Do.)",15,8
Berlin,Berlin,2022-08-25,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom ersten Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-25,"""Friedliche und freundliche Unterstützung des Nachbarschaftsdialogs. Entgegenwirken von Spaltung und Diskriminierung jeder Art, durch Förderung von friedlicher Kommunikation miteinander, Gleichberechtigung und fundiertem Verständnis für alle Mitmenschen."" (vom 06.01. bis 29.12.2022 - jeweils Do.)",19,6
Berlin,Berlin,2022-08-25,"""Umweltgerechtigkeit, Klimaschutz, Verkehrsberuhigung, Steigerung der Lebensqualität der Anwohner*Innen, Nachbarschaftstreff mit Theater und Lesungen""",60,20
Berlin,Berlin,2022-08-25,"""Menschen mit Schildern"" (vom 06.01. bis 30.12.2022 - jeweils Do.)",30,15
Berlin,Berlin,2022-08-25,"""Mahnwache gegen Eigenbedarfskündigung nach 40 Jahren Mietdauer"" (vom 30.06. bis 24.11.2022 - jeweils Do.)",10,
Berlin,Berlin,2022-08-26,"""Verkehrswende Jetzt! - Verkehrswende-Camp"" (vom 14.08. bis 01.09.2022 - täglich)",300,
Berlin,Berlin,2022-08-26,"""Stop Putin´s Neo-NaZism now!"" (vom 28.07. bis 30.08.2022 - täglich)",500,3
Berlin,Berlin,2022-08-26,"""Friedenscamp Berlin"" (vom 30.07. bis 20.09.2022 - täglich)",30,20
Berlin,Berlin,2022-08-26,"""Klimamahnwache zum Pariser Abkommen; FridayForFuture"" (vom 06.05. bis 28.10.2022 - jeweils Fr.)",12,4
Berlin,Berlin,2022-08-26,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,3
Berlin,Berlin,2022-08-26,"""Zählt Leerstand anstatt nur Menschen! Stopp der Gewinn-Privatisierung und Verlust-Solidarisierung!...""",20,10
Berlin,Berlin,2022-08-26,"""Stop Amhara Genozid in Äthiopien.""",70,66
Berlin,Berlin,2022-08-26,"""Mahnwache und Gebet von Christen aus ganz Deutschland aufgrund jüngster antisemitischer Ausschreitungen mit Aufruf zu Terror und Mord auf deutschen Boden""",25,4
Berlin,Berlin,2022-08-26,"""Rückzahlung der wertbeständigen Goldmark für Reparationen vom ersten Weltkrieg"" (vom 01.08. bis 31.08.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,So.)",2,
Berlin,Berlin,2022-08-26,"""Fahrzeug und Fahrradkorso - Wir, die FREIEN GEISTER, fahren für unsere Kinder und gegen die Spaltung unserer Gesellschaft. Wir lassen uns nicht spalten. Zusammenhalt und Gleichberechtigung für ALLE ! / Jung und Alt, Groß und Klein, KEINE G - Regeln, für ALLE. Wir sind Menschen aus der Mitte unserer Bevölkerung. Das ist für unsere Kinder, sie sollen nicht in Ketten leben, ohne Angst und ohne Tränen. Meinungsfreiheit und Diskurs um die Bevölkerung zu einen. Wir informieren die Bevölkerung über Daten, Zahlen und Fakten sowie die Entwicklungen und Auswirkungen der Corona-Maßnahmen und decken Hintergründe im Zusammenhang mit dem Infektionsschutzgesetz auf. Ein klares Nein zur Impfpflicht. Wir sind für Frieden auf der ganzen Welt und klären über Probleme in unserem Land und die daraus resultierenden Kollateralschäden auf.""",50,14
Berlin,Berlin,2022-08-26,"""Friede den Plattenbauten - Krieg den Palästen. Gegen Nazis, Gentrifizierung und patriarchale Gewalt""",150,45
Berlin,Berlin,2022-08-27,"""Verkehrswende Jetzt! - Verkehrswende-Camp"" (vom 14.08. bis 01.09.2022 - täglich)",300,
Berlin,Berlin,2022-08-27,"""Stop Putin´s Neo-NaZism now!"" (vom 28.07. bis 30.08.2022 - täglich)",500,5
Berlin,Berlin,2022-08-27,"""Friedenscamp Berlin"" (vom 30.07. bis 20.09.2022 - täglich)",30,12
Berlin,Berlin,2022-08-27,"""Wo sind die Wurzeln unserer christlichen Grundwerte?""",30,20
Berlin,Berlin,2022-08-27,"""2 tägiges UZ-Pressefest der DKP mit Kundgebungscharakter und vorwiegend politischen Beiträgen""",3000,2500
Berlin,Berlin,2022-08-27,"""Gentrifizierungswahnsinn stoppen!""",1000,300
Berlin,Berlin,2022-08-27,"""Aktion zum Ende des Speziesismus""",15,8
Berlin,Berlin,2022-08-27,"""Auto- und Fahrradkorso Berlin informiert über Entwicklungen und Auswirkungen der Corona-Maßnahmen. Wir protestieren gegen das Infektionsschutzgesetz, wie es der deutsche Bundestag am 18.11.2020 beschloss, und seine Anwendung durch den Berliner Senat. Wir stehen auf gegen die Arroganz und Ignoranz der Bundesregierung! Wir fordern die unverzügliche und bedingungslose Wiederherstellung aller Grundrechte! „Lauterbach muss weg!“",50,55
Berlin,Berlin,2022-08-27,"„Gemäß der geistigen Auffassung unserer Minderheit für Freiheit und Volksherrschaft - für Heimat und Welt-Frieden – für eine lebenswerte Zukunft für Alle Menschen durch konkrete Umsetzung Potsdamer Abkommen sowie der Krim-Deklaration mittels Durchführung der nicht erfolgten Entnazifizierung der Person gemäß Artikel 139 Grundgesetz für die Bundesrepublik Deutschland (BRD), den SHAEF-Gesetz Nr. 1 Aufhebung nationalsozialistischer Gesetze Art. III Absatz 4, weiter den ehrenhalber Abschluss der fehlenden Friedensverträge mit über 54 kriegsbeteiligten Nationen zur endgültigen und dauerhaften Beendigung des zweiten Welt-Krieges sowie Verfassungsreferendum in freier Selbstbestimmung des deutschen Volkes gemäß Artikel 146 Grundgesetz für die Bundesrepublik Deutschland""",300,50
Berlin,Berlin,2022-08-27,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",10,3
Berlin,Berlin,2022-08-27,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 26.03. bis 26.11.2022 - jeweils Sa.)",20,
Berlin,Berlin,2022-08-27,"""Schwimmdemo ""Ufer frei!"" von HTW zum Kaisersteg""",50,56
Berlin,Berlin,2022-08-27,"Schwimmdemo ""Ufer frei""",50,
Berlin,Berlin,2022-08-27,"""We demand to apply sanctions on the Russian house of culture in Berlin (Russisches Haus der Wissenschaft und Kultur) since it serves as a vehicle for russian Propaganda in Europe and is directly influenced by Putin.""",7,4
Berlin,Berlin,2022-08-27,"„Zug der Liebe 2022""",30000,12
Berlin,Berlin,2022-08-27,"""Heimat und Weltfrieden""",50,47
Berlin,Berlin,2022-08-27,GasExit - Schnitzeljagd,20,
Berlin,Berlin,2022-08-27,"""Wo sind die Wurzeln unserer christlichen Grundwerte?""",30,15
Berlin,Berlin,2022-08-27,"""Kein US-Krieg gegen Venezuela USA Unblock Venezuela USA Unblock Kuba Kein Amerika-Gipfel ohne Kuba, Venezuela und Nicaragua Gegen Intervention und Blockade, Schluß mit der Kriegstreiberei Kein Krieg vom deutschen Boden, keine Waffenlieferungen, keine Kriegsbeteiligung Hände weg vom Donbass Save Donbass People Solidarität mit Sandinistischen Revolution Solidarität mit den fortschrittlichen Menschen in Chile, Peru und allen anderen Ländern Lateinamerikas Frente Nacional por la Democracia y la Gobernabilidad Berlin"" (vom 04.06. bis 27.08.2022 - jeweils Sa.)",50,6
Berlin,Berlin,2022-08-27,"""Mahnwache für getötete Fußgängerin""",20,7
Berlin,Berlin,2022-08-27,"""Kirchlicher Dialog „Open Air“: In einer Zeit der gesellschaftlichen Spaltung und der existenziellen Krise vieler Menschen ein Zeichen setzen und Brücken bauen durch Reden, Dialog, Gesang und Lebensimpressionen.""",75,90
Berlin,Berlin,2022-08-27,"""Weltfrieden, Freiheit, Souveränität"" (vom 07.05. bis 31.12.2022 - jeweils Sa.)",50,37
Berlin,Berlin,2022-08-27,"""Heimat und Weltfrieden"" (vom 08.01. bis 31.12.2022 - jeweils Sa.)",20,10
Berlin,Berlin,2022-08-27,"""Mahnwache für getötete Fußgängerin""",30,20
Berlin,Berlin,2022-08-27,"""Zur Verteidigung des Rechtstaats und der Demokratie in Peru""",20,15
Berlin,Berlin,2022-08-27,"""derzeitige und geplante Präsenz der Polizei am Kottbusser Tor""",40,15
Berlin,Berlin,2022-08-27,"""Das Wort zum letzten Sonntag - Alleinerziehende organisieren sich -""",20,3
Berlin,Berlin,2022-08-27,"""Botschaft der Solidarität an die Kriegsflüchtlinge aus der Ukraine""",400,400
Berlin,Berlin,2022-08-27,"""Mahnwache für getötete Fußgängerin""",30,
Berlin,Berlin,2022-08-28,"""Verkehrswende Jetzt! - Verkehrswende-Camp"" (vom 14.08. bis 01.09.2022 - täglich)",300,
Berlin,Berlin,2022-08-28,"""Stop Putin´s Neo-NaZism now!"" (vom 28.07. bis 30.08.2022 - täglich)",500,
Berlin,Berlin,2022-08-28,"""Friedenscamp Berlin"" (vom 30.07. bis 20.09.2022 - täglich)",30,6
Berlin,Berlin,2022-08-28,"""2 tägiges UZ-Pressefest der DKP mit Kundgebungscharakter und vorwiegend politischen Beiträgen""",3000,
Berlin,Berlin,2022-08-28,"""Climate and Boat 2022: Erneuerbare Wärme jetzt!""",150,200
