event_date;year;month;day;weekday;mood;district;source;category;class;title;predicted label;score;score;grund truth;description;notes;crowd_size_class;crowd_size;with_vehicles
2023-09-03 00:00:00;2023;9;3;Sun;Peaceful protest;Berlin - Charlottenburg-Wilmersdorf;Berliner Zeitung;Environment;Anthropocene;Last Generation;Climate;;;;members of Last Generation slowed down traffic by marching from Wittenbergplatz in Berlin - Tempelhof-Schoneberg towards Adenauerplatz in Berlin - Charlottenburg-Wilmersdorf to protest against the preventive detention in Bavaria of 27 climate activists.;On 3 September 2023, members of Last Generation slowed down traffic by marching from Wittenbergplatz in Berlin - Tempelhof-Schoneberg towards Adenauerplatz in Berlin - Charlottenburg-Wilmersdorf to protest against the preventive detention in Bavaria of 27 climate activists.;3;200;
2023-09-02 00:00:00;2023;9;2;Sat;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;"Berliner Zeitung; Mitteldeutschen Zeitung";Environment;Transport;Environmental protection instead of car dirt / BUND   / Fridays for Future ;Conflict;;;;at the call of the Club Scene, Club Commission, BUND, A100, and FFF, between 7,000 and 10,000 people gathered at Ostkreuz in Berlin - Friedrichshain-Kreuzberg against the further construction of the city highway to Friedrichshain (A100). They called the event 'Environmental protection instead of car dirt'. In addition, a bicycle demonstration from the Ministry of Transport in Mitte drove past the Autobahn headquarters and the Rotes Rathaus to Ostkreuz.;On 2 September 2023, at the call of the Club Scene, Club Commission, BUND, A100, and FFF, between 7,000 and 10,000 people gathered at Ostkreuz in Berlin - Friedrichshain-Kreuzberg against the further construction of the city highway to Friedrichshain (A100). They called the event 'Environmental protection instead of car dirt'. In addition, a bicycle demonstration from the Ministry of Transport in Mitte drove past the Autobahn headquarters and the Rotes Rathaus to Ostkreuz.;8;8.500;cycles
2023-09-02 00:00:00;2023;9;2;Sat;Peaceful protest;Berlin - Mitte;Indymedia (Germany);War / Peace;International; Solidarity with Ukraine / freedom of prisoners in russia;Conflict;;;;at the call of the Berlin Anti-War Coordination, around 700 people, including members of The Left, an MP (The Left), the Rheinmetall Disarm Initiative, the Information Center for Militarization, the International of War Resisters, Revolutionary Women, Lichtenberg district committee, the Wedding community, Nordeast Antifa (NEA), the Interventionist Left, the Offensive Against Rearmament alliance, Attac, DFG-VK, and the Naturefriends, gathered on Pariser Platz and demonstrated in front of the Bundeswehr career center at Friedrichstrasse train station to Platz des 18 Marz in Berlin - Mitte against war and rearmament. Demonstrators passed by the Russian embassy. They called for the freedom of Boris Kagarlitsky and other prisoners. Protesters also condemned the Russian attack on Ukraine and the involvement of Western forces (USA, EU, etc.) in it.;On 2 September 2023, at the call of the Berlin Anti-War Coordination, around 700 people, including members of The Left, an MP (The Left), the Rheinmetall Disarm Initiative, the Information Center for Militarization, the International of War Resisters, Revolutionary Women, Lichtenberg district committee, the Wedding community, Nordeast Antifa (NEA), the Interventionist Left, the Offensive Against Rearmament alliance, Attac, DFG-VK, and the Naturefriends, gathered on Pariser Platz and demonstrated in front of the Bundeswehr career center at Friedrichstrasse train station to Platz des 18 Marz in Berlin - Mitte against war and rearmament. Demonstrators passed by the Russian embassy. They called for the freedom of Boris Kagarlitsky and other prisoners. Protesters also condemned the Russian attack on Ukraine and the involvement of Western forces (USA, EU, etc.) in it.;5;700;
2023-08-30 00:00:00;2023;8;30;Wed;Peaceful protest;Berlin - Neukolln;Berliner Morgenpost;Local;Education;against the removal of security guards in schools.;Conflict;;;;two dozen people, mostly students and school principals, protested during a district council meeting, in the public gallery of the town hall, in Berlin - Neukolln (Berlin) against the removal of security guards at 12 Neukolln schools.;On 30 August 2023, two dozen people, mostly students and school principals, protested during a district council meeting, in the public gallery of the town hall, in Berlin - Neukolln (Berlin) against the removal of security guards at 12 Neukolln schools.;1;24;
2023-08-28 00:00:00;2023;8;28;Mon;Peaceful protest;Berlin - Mitte;Indymedia (Germany);War / Peace;Peace;anti_military;Conflict;;;;people participated in a rally of the Antimilitaristische Aktion Berlin (Antimilitarist Action Berlin) in front of the House of Representatives in Berlin - Mitte (Berlin) against the association's recent scrutiny by the Office for the Protection of the Constitution.;On 28 August 2023, people participated in a rally of the Antimilitaristische Aktion Berlin (Antimilitarist Action Berlin) in front of the House of Representatives in Berlin - Mitte (Berlin) against the association's recent scrutiny by the Office for the Protection of the Constitution.;3;200;
2023-08-26 00:00:00;2023;8;26;Sat;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;"Berliner Zeitung; Der Tagesspiegel; Stuttgarter Zeitung";Local;Culture;zug der liebe / Mehr Liebe für die Welt von morgen ;International;;;;about 10,000 people participated in the protest 'Zug der Liebe' starting at Bernauer Strasse in Berlin - Pankow and ending at Oranienstrasse in Berlin - Friedrichshain-Kreuzberg (Berlin) under the motto 'Mehr Liebe fur die Welt von morgen' (More love for tomorrow's world) to support associations and organizations committed to the idea of charity and altruism.;On 26 August 2023, about 10,000 people participated in the protest 'Zug der Liebe' starting at Bernauer Strasse in Berlin - Pankow and ending at Oranienstrasse in Berlin - Friedrichshain-Kreuzberg (Berlin) under the motto 'Mehr Liebe fur die Welt von morgen' (More love for tomorrow's world) to support associations and organizations committed to the idea of charity and altruism.;9;10.000;
2023-08-26 00:00:00;2023;8;26;Sat;Peaceful protest;Berlin - Mitte;"Endstation Rechts; NWZ Online";ProRightWing;Far-Right;Reich Citizens;Unlabelled;;;;10 to 15 people, including Reich Citizens affiliates, participated in a protest rally on the occasion of the third anniversary of the storming of the Reichstag building in Berlin - Mitte (Berlin).;On 26 August 2023, 10 to 15 people, including Reich Citizens affiliates, participated in a protest rally on the occasion of the third anniversary of the storming of the Reichstag building in Berlin - Mitte (Berlin).;1;13;
2023-08-26 00:00:00;2023;8;26;Sat;Peaceful protest;Berlin - Mitte;Rote Fahne;Human Rights;Migration;IGM / MLPD / issuance for miners ....;Conflict;;;;people, including members of MLPD, IGM, and SI protested in front of the Federal Chancellery in Berlin - Mitte (Berlin) to demand the issuance of visas for the miners and United Front Congress participants.;On 26 August 2023, people, including members of MLPD, IGM, and SI protested in front of the Federal Chancellery in Berlin - Mitte (Berlin) to demand the issuance of visas for the miners and United Front Congress participants.;3;200;
2023-08-25 00:00:00;2023;8;25;Fri;Peaceful protest;Berlin - Mitte;OhmyNews;Environment;Anthropocene;korea / Fridays for Future / fukushima water release;Conflict;;;;people, including both ethnic Korean Germans and Koreans, members of the Korea Verband, Korean Women's International Foundation, the Katholische Kirche St. Fidelis, the Environmental Union, Fridays for Future, Grannies for Future, and Peace Bell, protested at Brandenburger Tor in Berlin - Mitte (Berlin), against the Fukushima water release.;On 25 August 2023, people, including both ethnic Korean Germans and Koreans, members of the Korea Verband, Korean Women's International Foundation, the Katholische Kirche St. Fidelis, the Environmental Union, Fridays for Future, Grannies for Future, and Peace Bell, protested at Brandenburger Tor in Berlin - Mitte (Berlin), against the Fukushima water release.;3;200;
2023-08-24 00:00:00;2023;8;24;Thu;Peaceful protest;Berlin;Frankenpost;Environment;Anthropocene;Fridays for Future;Climate;;;;FFF activists and members of other environmental groups blocked roads at several spots across Berlin, demanding immediate climate action and carbon-neutral transport.;On 24 August 2023, FFF activists and members of other environmental groups blocked roads at several spots across Berlin, demanding immediate climate action and carbon-neutral transport.;3;200;
2023-08-24 00:00:00;2023;8;24;Thu;Peaceful protest;Berlin - Mitte;Berliner Morgenpost;War / Peace;International; Solidarity with Ukraine;Refugee;;;;German and Ukrainian activists, including refugees, gathered for a rally in Berlin - Mitte, protesting against the Russian invasion and calling for higher support of Kyiv.;On 24 August 2023, German and Ukrainian activists, including refugees, gathered for a rally in Berlin - Mitte, protesting against the Russian invasion and calling for higher support of Kyiv.;3;200;
2023-08-21 00:00:00;2023;8;21;Mon;Peaceful protest;Berlin - Mitte;Berliner Zeitung;War / Peace;International; Solidarity with Ukraine;Conflict;;;;people, including members of the FDP, participated in a vigil commemorating the victims of the Russian war in Ukraine and protesting against the conflict in front of the Russian embassy in Berlin - Mitte (Berlin) with a varied program with art, dance and speeches.;On 21 August 2023, people, including members of the FDP, participated in a vigil commemorating the victims of the Russian war in Ukraine and protesting against the conflict in front of the Russian embassy in Berlin - Mitte (Berlin) with a varied program with art, dance and speeches.;3;200;
2023-08-21 00:00:00;2023;8;21;Mon;Peaceful protest;Berlin - Treptow-Kopenick;Berliner Zeitung;Human Rights;Womens Rights;awareness for femicide;Women Rights;;;;6 activists participated in a protest organized by the women's organization Zora in Berlin - Treptow-Kopenick (Berlin) in front of the house of a recent victim of a femicide to raise awareness for the global violence against women.;On 21 August 2023, 6 activists participated in a protest organized by the women's organization Zora in Berlin - Treptow-Kopenick (Berlin) in front of the house of a recent victim of a femicide to raise awareness for the global violence against women.;1;6;
2023-08-20 00:00:00;2023;8;20;Sun;Peaceful protest;Berlin;Indymedia (Germany);Human Rights;International;kurdish liberation movement;Solidarity;;;;Around 20 August 2023 (as reported), antifascists and internationalists gathered in Berlin (Berlin) to commemorate three fallen Kurdish guerrilla fighters and to show solidarity with the Kurdish liberation movement.;Around 20 August 2023 (as reported), antifascists and internationalists gathered in Berlin (Berlin) to commemorate three fallen Kurdish guerrilla fighters and to show solidarity with the Kurdish liberation movement.;3;200;
2023-08-20 00:00:00;2023;8;20;Sun;Peaceful protest;Berlin - Mitte;"Berliner Morgenpost; Ostsee Zeitung";Environment;Anthropocene;Fridays for Future;Climate;;;;30 climate activists, belonging to Fridays For Future and other organizations, protested during the federal government's open day in front of the Federal Chancellery in Berlin - Mitte (Berlin) to draw attention to the climate crisis.;On 20 August 2023, 30 climate activists, belonging to Fridays For Future and other organizations, protested during the federal government's open day in front of the Federal Chancellery in Berlin - Mitte (Berlin) to draw attention to the climate crisis.;1;30;
2023-08-20 00:00:00;2023;8;20;Sun;Peaceful protest;Berlin - Mitte;"Berliner Morgenpost; Ostsee Zeitung";Environment;Anthropocene;Last Generation;Refugee;;;;Last Generation and Extinction Rebellion activists protested during the open house of the federal government in front of the Ministry of the Interior in Berlin - Mitte (Berlin) for a more open refugee policy. Six of the protesters managed to get inside the building where they distributed leaflets.;On 20 August 2023, Last Generation and Extinction Rebellion activists protested during the open house of the federal government in front of the Ministry of the Interior in Berlin - Mitte (Berlin) for a more open refugee policy. Six of the protesters managed to get inside the building where they distributed leaflets.;3;200;
2023-08-17 00:00:00;2023;8;17;Thu;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;"Berliner Morgenpost; Der Tagesspiegel";Economy;Labor Rights ;NGG / delivery drivers / higher wadges;Conflict;;;;at the call of NGG - Food, Beverages, and Catering Union, between 30 and 130 Lieferando delivery drivers demonstrated in front of the company headquarters on Schlesische Street in Berlin - Friedrichshain-Kreuzberg (Berlin) for higher wages and a collective agreement.;On 17 August 2023, at the call of NGG - Food, Beverages, and Catering Union, between 30 and 130 Lieferando delivery drivers demonstrated in front of the company headquarters on Schlesische Street in Berlin - Friedrichshain-Kreuzberg (Berlin) for higher wages and a collective agreement.;2;80;
2023-08-17 00:00:00;2023;8;17;Thu;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;"Berliner Morgenpost; Mitteldeutschen Zeitung";Human Rights;LGBTQ+;against anti-queer violence;LGBTQ+;;;;around 450 people protested and marched through the district from Spreewaldplatz in Berlin - Friedrichshain-Kreuzberg (Berlin) against anti-queer violence. They denounced a homophobic attack on two women that took place on 6 July 2023.;On 17 August 2023, around 450 people protested and marched through the district from Spreewaldplatz in Berlin - Friedrichshain-Kreuzberg (Berlin) against anti-queer violence. They denounced a homophobic attack on two women that took place on 6 July 2023.;4;450;
2023-08-16 00:00:00;2023;8;16;Wed;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;Der Tagesspiegel;Environment;Anthropocene;Last Generation;Climate;;;;during the evening, around 70 members of Last Generation protested from Potsdamer Platz, then Aslandische Platz, and Mehringdamm in Berlin - Mitte to Berlin - Friedrichshain-Kreuzberg (Berlin) to call for climate protection.;On 16 August 2023, during the evening, around 70 members of Last Generation protested from Potsdamer Platz, then Aslandische Platz, and Mehringdamm in Berlin - Mitte to Berlin - Friedrichshain-Kreuzberg (Berlin) to call for climate protection.;2;70;
2023-08-13 00:00:00;2023;8;13;Sun;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;Berliner Morgenpost;Environment;Anthropocene;BUND;Climate;;;;around 150 people participated in a protest organized by the youth organization of the BUND on the Spree in Berlin - Friedrichshain-Kreuzberg (Berlin) for green energy and more climate justice.;On 13 August 2023, around 150 people participated in a protest organized by the youth organization of the BUND on the Spree in Berlin - Friedrichshain-Kreuzberg (Berlin) for green energy and more climate justice.;3;150;
2023-08-12 00:00:00;2023;8;12;Sat;Peaceful protest;Berlin - Mitte;"Berliner Morgenpost; Der Tagesspiegel";Health;Cannabis;Hemp is great for peace and climate ;Cannabis;;;;about 500 to 600 people participated in the Berlin Hemp Parade with the motto 'Hemp is great for peace and the climate' in Berlin - Mitte (Berlin), starting at the Red Town Hall, along Unter den Linden to the government district and back to Alexanderplatz, to demonstrate for free hemp consumption and the use of cannabis on an equal footing with other legal intoxicants such as alcohol or tobacco.;On 12 August 2023, about 500 to 600 people participated in the Berlin Hemp Parade with the motto 'Hemp is great for peace and the climate' in Berlin - Mitte (Berlin), starting at the Red Town Hall, along Unter den Linden to the government district and back to Alexanderplatz, to demonstrate for free hemp consumption and the use of cannabis on an equal footing with other legal intoxicants such as alcohol or tobacco.;5;550;
2023-08-12 00:00:00;2023;8;12;Sat;Protest with intervention;Berlin - Friedrichshain-Kreuzberg;Berliner Zeitung;Environment;Anthropocene;Last Generation;Climate;;;;20 Last Generation activists protested at Kottbusser Tor in Berlin - Friedrichshain-Kreuzberg (Berlin), 17 of which glued themselves onto the road, blocking Skalitzer Strasse at the intersection Adalbertstrasse and Skalitzer Strasse at the intersection Reichenberger Strasse, to raise awareness about the consequences of climate change and demand measures from politicians. The police intervened, removed the activists from the street, took their personal details and made reports.;On 12 August 2023, 20 Last Generation activists protested at Kottbusser Tor in Berlin - Friedrichshain-Kreuzberg (Berlin), 17 of which glued themselves onto the road, blocking Skalitzer Strasse at the intersection Adalbertstrasse and Skalitzer Strasse at the intersection Reichenberger Strasse, to raise awareness about the consequences of climate change and demand measures from politicians. The police intervened, removed the activists from the street, took their personal details and made reports.;1;20;
2023-08-12 00:00:00;2023;8;12;Sat;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;Die Tageszeitung;Human Rights;LGBTQ+;LesBiSchwulen park fest;LGBTQ+;;;;the LesBiSchwulen park fest was organized in Volkspark Friedrichshain in Berlin - Friedrichshain-Kreuzberg (Berlin), with stands of the SPD and the Left amongst others, to protest against discrimination of all sorts and for the rights of LGBTQ+.;On 12 August 2023, the LesBiSchwulen park fest was organized in Volkspark Friedrichshain in Berlin - Friedrichshain-Kreuzberg (Berlin), with stands of the SPD and the Left amongst others, to protest against discrimination of all sorts and for the rights of LGBTQ+.;3;200;
2023-08-09 00:00:00;2023;8;9;Wed;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;Berliner Zeitung;Environment;Anthropocene;Last Generation;Climate;;;;70 members of Last Generation held a protest march starting at Potsdamer Platz and going towards Blucherplatz in Berlin - Friedrichshain-Kreuzberg (Berlin) for more climate protection.;On 9 August 2023, 70 members of Last Generation held a protest march starting at Potsdamer Platz and going towards Blucherplatz in Berlin - Friedrichshain-Kreuzberg (Berlin) for more climate protection.;2;70;
2023-08-09 00:00:00;2023;8;9;Wed;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;Der Tagesspiegel;Local;Housing;against a planned rent increase;Conflict;;;;around 100 people protested in front of the 'Quicky Markt' in Skalitzer Strasse in Berlin - Friedrichshain-Kreuzberg (Berlin) against a planned rent increase planned by the owner, as well as against the closure of the shop.;On 9 August 2023, around 100 people protested in front of the 'Quicky Markt' in Skalitzer Strasse in Berlin - Friedrichshain-Kreuzberg (Berlin) against a planned rent increase planned by the owner, as well as against the closure of the shop.;3;100;
2023-08-09 00:00:00;2023;8;9;Wed;Peaceful protest;Berlin - Mitte;"Indymedia (Germany); Mitteldeutschen Zeitung";Local;Housing;eviction;Conflict;;;;around two dozen people protested in front of an apartment block in Habersaathstrasse in Berlin - Mitte (Berlin) against its eviction and actions of the security guards.;On 9 August 2023, around two dozen people protested in front of an apartment block in Habersaathstrasse in Berlin - Mitte (Berlin) against its eviction and actions of the security guards.;1;24;
2023-08-08 00:00:00;2023;8;8;Tue;Peaceful protest;Berlin - Mitte;Berliner Morgenpost;Health;Disability;non existent medical care for ME / CFS;Conflict;;;;at the call of the ME/CFS initiative, several dozen people, including people with chronic illnesses, staged a protest from Alexanderplatz to the Rotes Rathaus and lay down in front of it in Berlin - Mitte (Berlin) to denounce non-existent medical care for people suffering from the diseases myalgic encephalomyelitis and chronic fatigue syndrome (ME/CFS).;On 8 August 2023, at the call of the ME/CFS initiative, several dozen people, including people with chronic illnesses, staged a protest from Alexanderplatz to the Rotes Rathaus and lay down in front of it in Berlin - Mitte (Berlin) to denounce non-existent medical care for people suffering from the diseases myalgic encephalomyelitis and chronic fatigue syndrome (ME/CFS).;1;48;
2023-08-08 00:00:00;2023;8;8;Tue;Peaceful protest;Berlin - Mitte;Mitteldeutschen Zeitung;Environment;Anthropocene;Last Generation;Climate;;;;Around 8 August 2023 (as reported), 3 members of Last Generation staged a protest and used jackhammers in an attempt to damage the street in front of the Federal Ministry of Transport in Berlin - Mitte (Berlin) to call for climate protection. The activists decided not to plug their jackhammers after the arrival of the police.;Around 8 August 2023 (as reported), 3 members of Last Generation staged a protest and used jackhammers in an attempt to damage the street in front of the Federal Ministry of Transport in Berlin - Mitte (Berlin) to call for climate protection. The activists decided not to plug their jackhammers after the arrival of the police.;1;3;
2023-08-05 00:00:00;2023;8;5;Sat;Peaceful protest;Berlin - Mitte;"Berliner Zeitung; Der Tagesspiegel; Markische Allgemeine";ProRightWing;Coronavirus;AFD / holocaust deniers;Unlabelled;;;;at the call of the 'Democracy Movement' around 4,600 people, including Querdenken affiliates and an MP (AFD), gathered at the Brandenburg Gate in Berlin - Mitte (Berlin) under the motto 'Peace, Freedom, Truth, Joy' to protest in favor of peace and disarmament concerning the war in Ukraine. Protesters were against coronavirus vaccination, NATO, the German government, the media, The Greens, and the United States of America. Some carried Russian flags. A Holocaust denier was present.;On 5 August 2023, at the call of the 'Democracy Movement' around 4,600 people, including Querdenken affiliates and an MP (AFD), gathered at the Brandenburg Gate in Berlin - Mitte (Berlin) under the motto 'Peace, Freedom, Truth, Joy' to protest in favor of peace and disarmament concerning the war in Ukraine. Protesters were against coronavirus vaccination, NATO, the German government, the media, The Greens, and the United States of America. Some carried Russian flags. A Holocaust denier was present.;7;4.600;
2023-08-04 00:00:00;2023;8;4;Fri;Violent demonstration;Berlin - Friedrichshain-Kreuzberg;Indymedia (Germany);Human Rights;BLM;death of refugee / police violence / ag;Refugee;;;;during the evening, people threw stones at 2 police vehicles that were driving along the park at Gleisdreieck in Berlin - Friedrichshain-Kreuzberg (Berlin). Windows were shattered and police officers fled the area. Rioters claimed action on Indymedia. They did it in support of the riots against the police in France and to denounce the death of a 16-year-old refugee from Senegal, who was fatally shot by the police in Dortmund on 8 August 2022. Perpetrators also denounced capitalism, white supremacy, and police violence, especially against people of color.;On 4 August 2023, during the evening, people threw stones at 2 police vehicles that were driving along the park at Gleisdreieck in Berlin - Friedrichshain-Kreuzberg (Berlin). Windows were shattered and police officers fled the area. Rioters claimed action on Indymedia. They did it in support of the riots against the police in France and to denounce the death of a 16-year-old refugee from Senegal, who was fatally shot by the police in Dortmund on 8 August 2022. Perpetrators also denounced capitalism, white supremacy, and police violence, especially against people of color.;3;200;
2023-08-02 00:00:00;2023;8;2;Wed;Peaceful protest;Berlin - Mitte;Braunschweiger Zeitungsverlag;Environment;Anthropocene;Earth overshoot Day;Climate;;;;climate activists staged a protest in front of the Chancellery in Berlin - Mitte to call on the government to do more for climate protection. Protesters denounced the overexploitation of nature and gathered on the occasion of Earth Overshoot Day.;On 2 August 2023, climate activists staged a protest in front of the Chancellery in Berlin - Mitte to call on the government to do more for climate protection. Protesters denounced the overexploitation of nature and gathered on the occasion of Earth Overshoot Day.;3;200;
2023-07-31 00:00:00;2023;7;31;Mon;Peaceful protest;Berlin - Neukolln;Der Tagesspiegel;Local;Other;first refusal ;Conflict;;;;several dozen people protested in front of Weichselstrasse 52 in Berlin - Neukolln (Berlin) for exercising the district's right of first refusal.;On 31 July 2023, several dozen people protested in front of Weichselstrasse 52 in Berlin - Neukolln (Berlin) for exercising the district's right of first refusal.;1;48;
2023-07-23 00:00:00;2023;7;23;Sun;Peaceful protest;Berlin - Friedrichshain-Kreuzberg;Berliner Zeitung;Human Rights;Against Racism;columbiabad for all / against police presence / criminalisation;Against Racism;;;;at the call of Migrantifa, around 150 people, including striking employees, members of the LGBTQ+ community, members of 'Columbiabad for all', demonstrated in front of a public pool in Berlin - Friedrichshain-Kreuzberg against the presence of police officers in front of swimming pools, and ID checks to enter them. Protesters denounced racism concerning the debate around the protection of public swimming pools.;On 23 July 2023, at the call of Migrantifa, around 150 people, including striking employees, members of the LGBTQ+ community, members of 'Columbiabad for all', demonstrated in front of a public pool in Berlin - Friedrichshain-Kreuzberg against the presence of police officers in front of swimming pools, and ID checks to enter them. Protesters denounced racism concerning the debate around the protection of public swimming pools.;3;150;
2023-07-22 00:00:00;2023;7;22;Sat;Peaceful protest;Berlin - Mitte;Berliner Morgenpost;Human Rights;LGBTQ+;for LGBTQ+ rights;LGBTQ+;;;;thousands of people, including elected officials such as the mayor (CDU) and the president of the Parliament (SPD), the Ukrainian ambassador, LGBTQ+ communities from the Netherlands, Ukraine, and Namibia, demonstrated from Potsdamer Strasse, and Leipziger Strasse, to several districts (on 7.4 kilometers) until the Brandenburg Gate in Berlin - Mitte, for LGBTQ+ rights. Protesters called for more empathy and solidarity.;On 22 July 2023, thousands of people, including elected officials such as the mayor (CDU) and the president of the Parliament (SPD), the Ukrainian ambassador, LGBTQ+ communities from the Netherlands, Ukraine, and Namibia, demonstrated from Potsdamer Strasse, and Leipziger Strasse, to several districts (on 7.4 kilometers) until the Brandenburg Gate in Berlin - Mitte, for LGBTQ+ rights. Protesters called for more empathy and solidarity.;8;6.000;
2023-07-21 00:00:00;2023;7;21;Fri;Peaceful protest;Berlin;Berliner Morgenpost;Economy;Labor Rights ;Ver.di / retail workers;Labor Rights;;;;at the call of Ver.di, hundreds of striking wholesale and retail workers (of warehouses of Kaufland, Rewe, Edeka, Ikea, H&M, and Karstadt Galeria Kaufhof) demonstrated in Berlin to call for better pay and inflation compensation.;On 21 July 2023, at the call of Ver.di, hundreds of striking wholesale and retail workers (of warehouses of Kaufland, Rewe, Edeka, Ikea, H&M, and Karstadt Galeria Kaufhof) demonstrated in Berlin to call for better pay and inflation compensation.;5;600;
2023-07-17 00:00:00;2023;7;17;Mon;Peaceful protest;Berlin - Reinickendorf;Berliner Zeitung;Local;Transport;traffic policy;Traffic;;;;around 100 people protested on their bicycles in Berlin - Reinickendorf, calling for the speedy establishment of a cycle path and a fairer traffic policy.;On 17 July 2023, around 100 people protested on their bicycles in Berlin - Reinickendorf, calling for the speedy establishment of a cycle path and a fairer traffic policy.;3;100;cycles
2023-07-16 00:00:00;2023;7;16;Sun;Peaceful protest;Berlin - Neukolln;Der Tagesspiegel;Local;Housing;housinf crisis;Housing;;;;activists occupied an empty apartment in Berlin - Neukolln in protest against the current housing crisis and the owner's intention to turn the apartment building into an office space.;On 16 July 2023, activists occupied an empty apartment in Berlin - Neukolln in protest against the current housing crisis and the owner's intention to turn the apartment building into an office space.;3;200;
2023-07-15 00:00:00;2023;7;15;Sat;Peaceful protest;Berlin - Charlottenburg-Wilmersdorf;Abendzeitung Munchen;Human Rights;Womens Rights;Rammstein / condemned sexual abuse;Conflict;;;;around 300 people protested in Berlin - Charlottenburg-Wilmersdorf, outside the Rammstein concert venue. The protesters condemned the group's frontman's sexual abuse claims and blamed the organizers for allowing their show.;On 15 July 2023, around 300 people protested in Berlin - Charlottenburg-Wilmersdorf, outside the Rammstein concert venue. The protesters condemned the group's frontman's sexual abuse claims and blamed the organizers for allowing their show.;4;300;
2023-07-14 00:00:00;2023;7;14;Fri;Protest with intervention;Berlin - Mitte;Rheinische Post;Environment;Anthropocene;Last Generation;Climate;;;;over a dozen ALG activists glued themselves to a road in Berlin - Mitte, demanding immediate climate action. They were removed from the spot and detained.;On 14 July 2023, over a dozen ALG activists glued themselves to a road in Berlin - Mitte, demanding immediate climate action. They were removed from the spot and detained.;1;12;
2023-07-08 00:00:00;2023;7;8;Sat;Protest with intervention;Berlin - Marzahn-Hellersdorf;Indymedia (Germany);Human Rights;Against Racism;AJZ / Antifacist Youth Congress;Anti-facist;;;;overnight, around 300 Antifa activists demonstrated in Berlin - Marzahn-Hellersdorf against nazism and fascism. ;On 8 July 2023, overnight, around 300 Antifa activists demonstrated in Berlin - Marzahn-Hellersdorf against nazism and fascism. Around 10 neo-Nazis, members of The Third Path and its youth organization, NRJ - National Revolutionary Youth, gathered in front of the building of La Casa against the anti-fascist demonstration. They threw fireworks and other things at the Antifascist youth congress (AJZ) members. They damaged several cars of local residents by throwing firecrackers and other objects.;4;300;
2023-07-08 00:00:00;2023;7;8;Sat;Protest with intervention;Berlin - Marzahn-Hellersdorf;Indymedia (Germany);ProRightWing;Far-Right;NRJ / neo-nazis /  against AJZ;Unlabelled;;;;Around 10 neo-Nazis, members of The Third Path and its youth organization, NRJ - National Revolutionary Youth, gathered in front of the building of La Casa against the anti-fascist demonstration. They threw fireworks and other things at the Antifascist youth congress (AJZ) members. They damaged several cars of local residents by throwing firecrackers and other objects.;Around 10 neo-Nazis, members of The Third Path and its youth organization, NRJ - National Revolutionary Youth, gathered in front of the building of La Casa against the anti-fascist demonstration. They threw fireworks and other things at the Antifascist youth congress (AJZ) members. They damaged several cars of local residents by throwing firecrackers and other objects.;1;10;
2023-07-08 00:00:00;2023;7;8;Sat;Peaceful protest;Berlin - Treptow-Kopenick;Der Tagesspiegel;Local;Transport;construction of pathway along the spree;Conflict;;;;Around 8 July 2023 (weekend of), around 200 people staged a protest by swimming from the University of Applied Sciences to the Kaisersteg in Berlin - Treptow-Kopenick to call for the construction of a pathway along the Spree.;Around 8 July 2023 (weekend of), around 200 people staged a protest by swimming from the University of Applied Sciences to the Kaisersteg in Berlin - Treptow-Kopenick to call for the construction of a pathway along the Spree.;3;200;
2023-07-05 00:00:00;2023;7;5;Wed;Peaceful protest;Berlin - Mitte;Judische Allgemeine;War / Peace;International; Solidarity with Palastine;Conflict;;;;about 100 activists, including Palestinians, gathered for a rally in Potsdamer Platz in Berlin - Mitte, demanding immediate ceasefire in Palestine and protesting against the ongoing military operations of Israel in Jenin and the West Bank.;On 5 July 2023, about 100 activists, including Palestinians, gathered for a rally in Potsdamer Platz in Berlin - Mitte, demanding immediate ceasefire in Palestine and protesting against the ongoing military operations of Israel in Jenin and the West Bank.;3;100;
2023-07-03 00:00:00;2023;7;3;Mon;Peaceful protest;Berlin - Mitte;Berliner Zeitung;Health;Coronavirus;mandatory vaccination;Coronavirus;;;;activists gathered for a rally in Berlin - Mitte, demanding state support and compensation for health issues allegedly caused by mandatory vaccination against coronavirus.;On 3 July 2023, activists gathered for a rally in Berlin - Mitte, demanding state support and compensation for health issues allegedly caused by mandatory vaccination against coronavirus.;3;200;
2023-07-03 00:00:00;2023;7;3;Mon;Protest with intervention;Berlin - Mitte;Berliner Zeitung;Environment;Anthropocene;Last Generation;Climate;;;;Last Generation activists blocked a road in Berlin - Mitte by gluing themselves to a road, demanding immediate climate action. Police detained six of them - some before they managed to apply the glue.;On 3 July 2023, Last Generation activists blocked a road in Berlin - Mitte by gluing themselves to a road, demanding immediate climate action. Police detained six of them - some before they managed to apply the glue.;3;200;
